timestamp_sec,q1,q2,q3,q4,q5,q6
2.4800,0.58710,1.83244,-1.64278,0.81500,-1.61068,1.52784
2.5000,0.59033,1.84254,-1.65184,0.83329,-1.61068,1.52784
2.5200,0.59344,1.85226,-1.66055,0.85090,-1.61068,1.52784
2.5400,0.59644,1.86160,-1.66892,0.86781,-1.61068,1.52784
2.5600,0.59930,1.87055,-1.67694,0.88403,-1.61068,1.52784
2.5800,0.60205,1.87911,-1.68462,0.89954,-1.61068,1.52784
2.6000,0.60466,1.88728,-1.69194,0.91434,-1.61068,1.52784
2.6200,0.60715,1.89505,-1.69891,0.92842,-1.61068,1.52784
2.6400,0.60952,1.90242,-1.70552,0.94177,-1.61068,1.52784
2.6600,0.61175,1.90938,-1.71176,0.95440,-1.61068,1.52784
2.6800,0.61385,1.91594,-1.71764,0.96628,-1.61068,1.52784
2.7000,0.61582,1.92209,-1.72316,0.97743,-1.61068,1.52784
2.7200,0.61766,1.92783,-1.72830,0.98782,-1.61068,1.52784
2.7400,0.61936,1.93316,-1.73307,0.99747,-1.61068,1.52784
2.7600,0.62093,1.93806,-1.73747,1.00635,-1.61068,1.52784
2.7800,0.62237,1.94255,-1.74149,1.01448,-1.61068,1.52784
2.8000,0.62367,1.94661,-1.74514,1.02185,-1.61068,1.52784
2.8200,0.62484,1.95025,-1.74840,1.02845,-1.61068,1.52784
2.8400,0.62587,1.95347,-1.75129,1.03427,-1.61068,1.52784
2.8600,0.62677,1.95626,-1.75379,1.03933,-1.61068,1.52784
2.8800,0.62752,1.95863,-1.75591,1.04361,-1.61068,1.52784
2.9000,0.62814,1.96056,-1.75764,1.04712,-1.61068,1.52784
2.9200,0.62863,1.96207,-1.75899,1.04985,-1.61068,1.52784
2.9400,0.62897,1.96315,-1.75996,1.05180,-1.61068,1.52784
2.9600,0.62918,1.96379,-1.76054,1.05297,-1.61068,1.52784
2.9800,0.62925,1.96401,-1.76073,1.05336,-1.61068,1.52784
3.0000,0.62925,1.96406,-1.76044,1.05302,-1.61068,1.52784
3.0200,0.62925,1.96422,-1.75957,1.05199,-1.61068,1.52784
3.0400,0.62926,1.96449,-1.75813,1.05028,-1.61068,1.52784
3.0600,0.62927,1.96487,-1.75612,1.04789,-1.61068,1.52784
3.0800,0.62928,1.96535,-1.75355,1.04484,-1.61068,1.52784
3.1000,0.62929,1.96594,-1.75043,1.04113,-1.61068,1.52784
3.1200,0.62930,1.96662,-1.74677,1.03678,-1.61068,1.52784
3.1400,0.62932,1.96741,-1.74258,1.03182,-1.61068,1.52784
3.1600,0.62934,1.96829,-1.73789,1.02625,-1.61068,1.52784
3.1800,0.62936,1.96926,-1.73271,1.02009,-1.61068,1.52784
3.2000,0.62938,1.97031,-1.72706,1.01339,-1.61068,1.52784
3.2200,0.62940,1.97146,-1.72097,1.00615,-1.61068,1.52784
3.2400,0.62943,1.97268,-1.71445,0.99841,-1.61068,1.52784
3.2600,0.62945,1.97397,-1.70754,0.99020,-1.61068,1.52784
3.2800,0.62948,1.97534,-1.70026,0.98156,-1.61068,1.52784
3.3000,0.62951,1.97676,-1.69263,0.97251,-1.61068,1.52784
3.3200,0.62954,1.97825,-1.68470,0.96309,-1.61068,1.52784
3.3400,0.62957,1.97979,-1.67649,0.95334,-1.61068,1.52784
3.3600,0.62960,1.98137,-1.66803,0.94330,-1.61068,1.52784
3.3800,0.62964,1.98300,-1.65936,0.93300,-1.61068,1.52784
3.4000,0.62967,1.98466,-1.65051,0.92249,-1.61068,1.52784
3.4200,0.62970,1.98634,-1.64152,0.91181,-1.61068,1.52784
3.4400,0.62974,1.98805,-1.63241,0.90100,-1.61068,1.52784
3.4600,0.62977,1.98976,-1.62324,0.89011,-1.61068,1.52784
3.4800,0.62981,1.99149,-1.61403,0.87917,-1.61068,1.52784
3.5000,0.62985,1.99322,-1.60481,0.86824,-1.61068,1.52784
3.5200,0.62988,1.99493,-1.59564,0.85734,-1.61068,1.52784
3.5400,0.62992,1.99664,-1.58654,0.84653,-1.61068,1.52784
3.5600,0.62995,1.99832,-1.57754,0.83585,-1.61068,1.52784
3.5800,0.62998,1.99998,-1.56869,0.82535,-1.61068,1.52784
3.6000,0.63002,2.00161,-1.56002,0.81505,-1.61068,1.52784
3.6200,0.63005,2.00319,-1.55156,0.80501,-1.61068,1.52784
3.6400,0.63008,2.00473,-1.54335,0.79526,-1.61068,1.52784
3.6600,0.63011,2.00622,-1.53542,0.78584,-1.61068,1.52784
3.6800,0.63014,2.00764,-1.52779,0.77679,-1.61068,1.52784
3.7000,0.63017,2.00901,-1.52051,0.76814,-1.61068,1.52784
3.7200,0.63019,2.01030,-1.51360,0.75993,-1.61068,1.52784
3.7400,0.63022,2.01152,-1.50708,0.75219,-1.61068,1.52784
3.7600,0.63024,2.01267,-1.50099,0.74496,-1.61068,1.52784
3.7800,0.63026,2.01372,-1.49534,0.73825,-1.61068,1.52784
3.8000,0.63028,2.01470,-1.49016,0.73210,-1.61068,1.52784
3.8200,0.63030,2.01557,-1.48547,0.72653,-1.61068,1.52784
3.8400,0.63032,2.01636,-1.48128,0.72156,-1.61068,1.52784
3.8600,0.63033,2.01704,-1.47762,0.71722,-1.61068,1.52784
3.8800,0.63034,2.01763,-1.47450,0.71351,-1.61068,1.52784
3.9000,0.63035,2.01811,-1.47193,0.71046,-1.61068,1.52784
3.9200,0.63036,2.01849,-1.46992,0.70807,-1.61068,1.52784
3.9400,0.63037,2.01876,-1.46848,0.70636,-1.61068,1.52784
3.9600,0.63037,2.01892,-1.46761,0.70533,-1.61068,1.52784
3.9800,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.52784
4.0000,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.52166
4.0200,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.50323
4.0400,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.47285
4.0600,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.43105
4.0800,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.37854
4.1000,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.31623
4.1200,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.24517
4.1400,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.16659
4.1600,0.63037,2.01897,-1.46732,0.70498,-1.61068,1.08183
4.1800,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.99234
4.2000,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.89965
4.2200,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.80534
4.2400,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.71103
4.2600,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.61834
4.2800,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.52885
4.3000,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.44409
4.3200,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.36551
4.3400,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.29445
4.3600,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.23214
4.3800,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.17963
4.4000,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.13783
4.4200,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.10745
4.4400,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.08902
4.4600,0.63037,2.01897,-1.46732,0.70498,-1.61068,0.08283
4.4800,0.63037,2.01887,-1.46788,0.70565,-1.61068,0.08283
4.5000,0.63036,2.01856,-1.46955,0.70763,-1.61068,0.08283
4.5200,0.63035,2.01804,-1.47232,0.71092,-1.61068,0.08283
4.5400,0.63034,2.01732,-1.47617,0.71549,-1.61068,0.08283
4.5600,0.63032,2.01640,-1.48107,0.72130,-1.61068,0.08283
4.5800,0.63030,2.01529,-1.48698,0.72832,-1.61068,0.08283
4.6000,0.63027,2.01400,-1.49385,0.73649,-1.61068,0.08283
4.6200,0.63024,2.01254,-1.50164,0.74574,-1.61068,0.08283
4.6400,0.63021,2.01092,-1.51029,0.75600,-1.61068,0.08283
4.6600,0.63017,2.00916,-1.51973,0.76721,-1.61068,0.08283
4.6800,0.63013,2.00725,-1.52988,0.77926,-1.61068,0.08283
4.7000,0.63009,2.00523,-1.54067,0.79208,-1.61068,0.08283
4.7200,0.63005,2.00311,-1.55203,0.80556,-1.61068,0.08283
4.7400,0.63000,2.00089,-1.56385,0.81960,-1.61068,0.08283
4.7600,0.62996,1.99860,-1.57606,0.83409,-1.61068,0.08283
4.7800,0.62991,1.99626,-1.58855,0.84893,-1.61068,0.08283
4.8000,0.62986,1.99389,-1.60124,0.86399,-1.61068,0.08283
4.8200,0.62981,1.99149,-1.61403,0.87917,-1.61068,0.08283
4.8400,0.62976,1.98909,-1.62681,0.89435,-1.61068,0.08283
4.8600,0.62971,1.98672,-1.63950,0.90942,-1.61068,0.08283
4.8800,0.62966,1.98438,-1.65200,0.92426,-1.61068,0.08283
4.9000,0.62962,1.98209,-1.66420,0.93875,-1.61068,0.08283
4.9200,0.62957,1.97988,-1.67603,0.95279,-1.61068,0.08283
4.9400,0.62953,1.97775,-1.68738,0.96627,-1.61068,0.08283
4.9600,0.62949,1.97573,-1.69817,0.97908,-1.61068,0.08283
4.9800,0.62945,1.97382,-1.70833,0.99114,-1.61068,0.08283
5.0000,0.62941,1.97206,-1.71776,1.00234,-1.61068,0.08283
5.0200,0.62938,1.97044,-1.72641,1.01261,-1.61068,0.08283
5.0400,0.62935,1.96898,-1.73420,1.02186,-1.61068,0.08283
5.0600,0.62932,1.96769,-1.74108,1.03002,-1.61068,0.08283
5.0800,0.62930,1.96658,-1.74699,1.03704,-1.61068,0.08283
5.1000,0.62928,1.96566,-1.75188,1.04286,-1.61068,0.08283
5.1200,0.62927,1.96494,-1.75573,1.04743,-1.61068,0.08283
5.1400,0.62926,1.96442,-1.75850,1.05071,-1.61068,0.08283
5.1600,0.62925,1.96411,-1.76017,1.05270,-1.61068,0.08283
