timestamp_sec,q1,q2,q3,q4,q5,q6
1.0800,0.63075,2.04237,-1.41727,0.63154,1.57080,0.08283
1.1000,0.63075,2.04179,-1.41939,0.63423,1.57080,0.08283
1.1200,0.63074,2.04010,-1.42569,0.64223,1.57080,0.08283
1.1400,0.63073,2.03733,-1.43597,0.65528,1.57080,0.08283
1.1600,0.63071,2.03357,-1.44993,0.67300,1.57080,0.08283
1.1800,0.63069,2.02894,-1.46715,0.69485,1.57080,0.08283
1.2000,0.63066,2.02357,-1.48708,0.72015,1.57080,0.08283
1.2200,0.63063,2.01763,-1.50914,0.74815,1.57080,0.08283
1.2400,0.63060,2.01130,-1.53265,0.77799,1.57080,0.08283
1.2600,0.63056,2.00477,-1.55690,0.80876,1.57080,0.08283
1.2800,0.63053,1.99825,-1.58115,0.83954,1.57080,0.08283
1.3000,0.63050,1.99192,-1.60466,0.86938,1.57080,0.08283
1.3200,0.63047,1.98598,-1.62672,0.89738,1.57080,0.08283
1.3400,0.63044,1.98061,-1.64666,0.92268,1.57080,0.08283
1.3600,0.63042,1.97598,-1.66387,0.94453,1.57080,0.08283
1.3800,0.63040,1.97222,-1.67783,0.96225,1.57080,0.08283
1.4000,0.63039,1.96945,-1.68811,0.97530,1.57080,0.08283
1.4200,0.63038,1.96775,-1.69441,0.98330,1.57080,0.08283
1.4400,0.63037,1.96718,-1.69654,0.98599,1.57080,0.08283
1.4600,0.62910,1.96822,-1.69811,0.98653,1.57080,0.08283
1.4800,0.62531,1.97132,-1.70284,0.98816,1.57080,0.08283
1.5000,0.61902,1.97645,-1.71067,0.99086,1.57080,0.08283
1.5200,0.61028,1.98358,-1.72154,0.99460,1.57080,0.08283
1.5400,0.59916,1.99265,-1.73537,0.99936,1.57080,0.08283
1.5600,0.58576,2.00358,-1.75204,1.00510,1.57080,0.08283
1.5800,0.57018,2.01629,-1.77143,1.01178,1.57080,0.08283
1.6000,0.55254,2.03067,-1.79337,1.01933,1.57080,0.08283
1.6200,0.53300,2.04662,-1.81768,1.02771,1.57080,0.08283
1.6400,0.51170,2.06399,-1.84418,1.03683,1.57080,0.08283
1.6600,0.48882,2.08266,-1.87265,1.04663,1.57080,0.08283
1.6800,0.46454,2.10246,-1.90286,1.05703,1.57080,0.08283
1.7000,0.43906,2.12325,-1.93456,1.06795,1.57080,0.08283
1.7200,0.41258,2.14485,-1.96750,1.07929,1.57080,0.08283
1.7400,0.38532,2.16709,-2.00142,1.09097,1.57080,0.08283
1.7600,0.35750,2.18979,-2.03604,1.10289,1.57080,0.08283
1.7800,0.32933,2.21276,-2.07109,1.11496,1.57080,0.08283
1.8000,0.30105,2.23584,-2.10628,1.12708,1.57080,0.08283
1.8200,0.27288,2.25881,-2.14132,1.13915,1.57080,0.08283
1.8400,0.24505,2.28151,-2.17594,1.15107,1.57080,0.08283
1.8600,0.21779,2.30375,-2.20986,1.16275,1.57080,0.08283
